report_table_number_state,table_2_urban_utility_scale_pv_gwh,table_2_urban_utility_scale_pv_gw,table_2_urban_utility_scale_pv_km2,table_3_rural_utility_scale_pv_gwh,table_3_rural_utility_scale_pv_gw,table_3_rural_utility_scale_pv_km2,table_4_rooftop_pv_gwh,table_4_rooftop_pv_gw,table_5_csp_gwh,table_5_csp_gw,table_5_csp_km2,table_6_onshore_wind_gwh,table_6_onshore_wind_gw,table_6_onshore_wind_km2,table_7_offshore_wind_gwh,table_7_offshore_wind_gw,table_7_offshore_wind_km2,table_8_biopower_solid_gwh,table_8_biopower_solid_gw,table_8_biopower_solid_bdt,table_8_biopower_gaseous_gwh,table_8_biopower_gaseous_gw,table_8_biopower_gaseous_tonnes_ch4,table_9_geothermal_hydrothermal_gwh,table_9_geothermal_hydrothermal_gw,table_10_egs_geothermal_gwh,table_10_egs_geothermal_gw,table_11_hydropower_gwh,table_11_hydropower_gw,table_11_hydropower_count_of_sites
New Jersey,44307.146511599996,25.300979132182935,527.1037319204779,439773.782313884,251.12669547399994,5231.806156,15767.532931570597,13.69143011364792,0,0,0,317.26661399999995,0.1318,26.36,429807.69180000003,101.93470000000002,20386.940000000006,1212.1009999999999,0.15374188229325217,1101910,2310.9513190000002,0.29311914244038567,491691.7700000001,0,0,35230.438010089994,4.468599443186,549.3880356605999,0.12543105837000001,402
New Mexico,71356.02415304001,30.990609825706855,645.637704702226,16318543.030639628,7087.300700139999,147652.097912,6513.398345218266,4.223284511657965,16812349.375400003,4860.165209399999,147747.8403,1399156.6091580004,492.0835000000002,98416.69999999997,,,,595.4014000000001,0.07552021816336883,541274,353.57216400000004,0.04484679908675799,75228.12,12933.2112240606,1.64080000305204,1417978.3702676299,179.85519663475702,1362.6999738724799,0.31111871549600006,1810
New York,52803.004254479994,32.76390929025896,682.5814435470622,1492566.4212138164,926.12743394,19294.32154,28779.54541836152,25.148871491080595,0,0,0,63565.72017000002,25.781299999999998,5156.260000000002,614279.841258,146.07715000000002,29215.43,5558.389099999999,0.7050214485032977,5053081,2950.351069,0.37422007470827,627734.2699999999,0,0,375400.5980154042,47.61549949460547,6711.248073573118,1.532248418624,4839
North Carolina,68346.11224821098,37.89379730415351,789.4541105031982,4232789.927588594,2346.826736281999,48892.22367199999,28419.628474647263,23.095824521715933,0,0,0,2037.4564260000002,0.8077,161.54000000000002,1269626.8888260003,306.02035,61204.07,12869.875700000002,1.6324043252156268,11699887,3780.215216999998,0.47947935273972614,804301.11,0,0,420741.3332684919,53.366480627668885,3036.5273351479195,0.6932710810840002,2131
North Dakota,4871.372966925001,2.7438067640800776,57.1626409183349,9734447.93833099,5482.939671610002,114227.90982399999,1916.940278800631,1.6220643683291547,36049.9056,13.0416378,396.4626,2537824.7742,770.1954,154039.08000000002,,,,8186.075699999998,1.0383150304414006,7441887,30.003107999999997,0.0038055692541856924,6383.640000000001,0,0,820226.3515488398,104.036827948878,347.1265693670401,0.07925264140799997,572
Ohio,86495.98827027697,57.142690841672746,1190.4727258681817,3626181.5034718043,2395.5997581740003,49908.32829600001,30064.155724766126,27.47466056712179,0,0,0,129142.82832399997,54.91970000000001,10983.94,170561.481888,41.804449999999996,8360.89,11009.1102,1.396386377473364,10008282,3363.3353219999985,0.42660265372907163,715603.2599999997,0,0,495921.7176843001,62.90229803199802,3045.9558368264397,0.695423707038,1791
Oklahoma,50040.76576513802,25.619203060866045,533.7333971013761,9341920.39476272,4782.751660769999,99640.6596,12442.715662177983,9.336952054624467,5068036.412199998,1812.9519645999999,55113.29910000001,1521651.9092479998,516.8220999999999,103364.42000000003,,,,4128.4507,0.5236492516489092,3753137,965.1912950000002,0.12242406075596142,205359.85,0,0,779667.3946460102,98.89236360300899,3015.8283996686396,0.688545296728,2824
Oregon,25783.139559719995,12.992035894400399,270.6674144666748,3740478.903376094,1884.8145339980001,39266.969456,8322.72554940073,7.842285533171862,2812126.2172,1017.3321680000001,30926.650500000007,68766.900092,27.1003,5420.06,962722.639134,225.00829999999996,45001.659999999996,13793.093599999998,1.7495045154743787,12539176,890.986943,0.11301204249112126,189571.69000000003,18199.8975631554,2.3083999953267003,914105.3476330102,115.94436169874002,18184.43227683804,4.151696866857999,7993
Pennsylvania,56161.83513007801,36.19552405487723,754.0734178099423,553356.0475838224,356.630300366,7429.7979239999995,22215.02687560452,19.902198420008492,0,0,0,8230.681818000001,3.3072,661.4400000000002,23571.036576,5.6742,1134.84,6313.569899999999,0.8008079528158297,5739609,7132.441477999998,0.9046729424150178,1517540.739999999,0,0,327340.57494454796,41.51960615733523,8368.10126157468,1.9105254021860003,4466
Rhode Island,1787.9326742899998,1.159584254847655,24.15800530932614,13636.384697722151,8.844033792000001,184.25070399999998,1710.771320652288,1.5335276240491544,0,0,0,129.843348,0.0466,9.32,89114.95571400001,20.965400000000002,4193.08,143.4972,0.018201065449010657,130452,474.174822,0.0601439398782344,100888.26000000001,0,0,11491.531565893334,1.4575763021177,59.46565803252,0.013576634254,86
South Carolina,33834.66646849999,19.099164055742456,397.8992511613013,2754973.303762888,1555.1412971400002,32398.777024000003,14412.569364886342,11.5310078272545,0,0,0,427.99607999999995,0.185,37,542218.231146,133.21734999999998,26643.470000000005,6984.801999999999,0.8859464738711315,6349820,1430.2678569999998,0.18141398490613903,304312.31,0,0,364104.9829639667,46.182773080149005,1888.6947663725991,0.43120885076999993,889
South Dakota,4573.63729033,2.4423552,50.88240000000004,10008873.173404358,5344.810244392,111350.21342400002,2082.586632651155,1.6819573972022117,1629659.5872999998,589.5557523000001,17922.351399999996,2901858.083558001,882.4125999999998,176482.52,,,,8380.139899999998,1.0629299720953826,7618309,235.34056199999995,0.029850401065449016,50072.46000000001,0,0,921972.5083185999,116.94222581411498,1047.0590265688802,0.23905457227600002,1712
Tennessee,50243.30450754998,28.597611906829876,595.7835813922887,2225989.928683412,1266.9946118239995,26395.721079999996,19685.149168530483,16.22665998569858,0,0,0,765.530706,0.3093,61.86,,,,6095.494900000002,0.7731475012683918,5541359,1984.4346110000004,0.2517040348807712,422220.13000000006,0,0,428380.03808761016,54.335367591028195,5744.5366479186,1.3115380474700002,2610
Texas,294684.0137075161,154.2512407724997,3213.5675160937417,38993581.6193182,20411.043921891986,425230.08171199996,78716.66398842401,60.256485969477644,22786749.695000015,7743.4202798999995,235398.09350000008,5552399.929284,1901.5299000000011,380305.97999999986,1101062.654964,271.44345,54288.69,16077.546099999996,2.039262569761543,14615951,5898.496428000003,0.748160378995434,1254999.240000001,0,0,3030250.9677490005,384.35451138374884,3006.0800525985596,0.6863196467120003,4366
Utah,30492.330939299994,14.05715040000295,292.8573000000614,5184878.016379076,2390.260364984,49797.090944,7513.803901913654,5.644549712681119,5067546.9381,1638.1541459,49799.4876,31552.134601999995,13.103700000000003,2620.740000000001,,,,433.983,0.05504604261796041,394530,427.78695000000005,0.05426014079147642,91018.49999999999,12981.6559999992,1.64699999999993,939380.7151531999,119.15026828439596,3528.3434897844,0.8055578743799999,3394
Vermont,1632.062494261,1.058270399999999,22.0473,54727.8924867857,35.486942978,739.3113119999999,1115.3012054158457,1.0303946596331348,0,0,0,7795.7311740000005,2.948699999999999,589.74,,,,491.99479999999994,0.062404211060375456,447268,203.269172,0.02578249264332826,43248.76,0,0,35616.712880783336,4.517594226383,1710.27443497896,0.390473615292,1207
Virginia,27451.378148929005,15.663739075200887,326.32789740001834,1882467.2854062652,1074.1346469159994,22377.80514399999,22266.97710103119,18.669253513521724,0,0,0,4589.245302000001,1.7935000000000003,358.70000000000016,361053.99127800006,89.07345000000001,17814.69,7866.231999999997,0.9977463216641292,7151120,2498.486583000001,0.31690595928462695,531592.89,0,0,290736.6394346195,36.87679343413167,3656.7590269358398,0.8348764901679998,2601
Washington,33690.09393049,19.31313152796097,402.35690683252045,1738150.7512606601,996.409631364,20758.533988000003,13599.129094458938,13.49359421784841,161713.42950000003,58.5024516,1778.4603000000002,47249.71734599999,18.478500000000004,3695.7000000000003,488025.144642,120.96375,24192.75,12311.7016,1.5616059868087269,11192456,1514.1297219999997,0.1920509540842212,322155.26,2546.966806015,0.3227000007629,563023.6108854567,71.413446332489,27248.93251563035,6.221217469322,7310
West Virginia,3023.83081617,2.0087298652067878,41.848538858474726,52693.750227956894,35.004441792000016,729.2592039999997,4220.143893116043,3.810297509641997,0,0,0,4951.62723,1.8832,376.64000000000016,,,,2406.8626999999983,0.305284462201928,2188057,281.11372100000006,0.03565623046676815,59811.43000000002,0,0,261376.49942495153,33.15277770483948,4408.434915569279,1.006491989856,1711
Wisconsin,54938.941588982,34.92976070169006,727.7033479518763,5042258.889782092,3205.82980531,66788.12094400001,13939.214736844322,12.261862089042173,0,0,0,255266.2217440001,103.7571,20751.420000000002,317754.925746,80.67175,16134.349999999999,11221.583999999995,1.4233363774733643,10201440,2072.9532359999994,0.2629316636225266,441053.88,0,0,647173.2178209501,82.08691245826797,2286.758764100159,1.4554235507859998,1863
Wyoming,7232.472529980999,3.6044351999970696,75.09239999993895,5727224.12849497,2854.2670796580005,59463.897494000004,1550.525136658502,1.1699659026133071,5406407.073399999,1955.8458867000002,59457.2392,1653856.6966100002,552.0726999999999,110414.54000000001,,,,503.02779999999996,0.06380362760020294,457298,50.153229999999986,0.006361393962455606,10670.9,1373,0.17400000000000002,1070078.7656441666,135.72790025918002,4445.247448378559,1.2892387545840003,2842
TOTAL,2231693.7458962146,1217.6985389159731,25368.765860749423,280613216.90324533,152973.8290285015,3186954.7714409055,818732.8112628616,664.8246079721878,116146244.58652948,38066.400652543554,1157209.3216996216,32784004.65555145,10954.758802856524,2190951.7605713033,16975801.870445997,4223.5142000000005,844702.84,399774.09119999997,50.707013089802125,363430992,88551.44486499998,11.231791586123796,18840732.95,301382.3802890497,38.22729988446398,31344696.02392645,3975.7351628523247,258953.49019033284,60.329475998944,128126
